Inst,citingDOI,CR,citedDOI,title,journal_book,date,issn1,issn1Type,issn2,issn2Type,isbn
UCLA,10.1007/s11269-015-0952-8,"[Anonymous], 1971, PROP FLOOD CONTR PRO",nan,nan,PROP FLOOD CONTR PRO,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.soildyn.2017.05.025,"[Anonymous], 1985, ATC13",nan,nan,ATC13,nan,nan,nan,nan,nan,nan
CUBoulder,10.3390/rs11040440,"[Anonymous], 1994, TECHNICAL REPORT",nan,nan,TECHNICAL REPORT,nan,nan,nan,nan,nan,nan
Berkeley,nan,"[Anonymous], 1996, LOS ANGELES TIMES",nan,nan,LOS ANGELES TIMES,nan,nan,nan,nan,nan,nan
CUBoulder,10.2113/econgeo.109.5.1179,"[Anonymous], 1999, NEWSLETTER",nan,nan,NEWSLETTER,nan,nan,nan,nan,nan,nan
CUBoulder,10.1175/JTECH-D-18-0020.1,"[Anonymous], 2001, RAIN HEIGHT MOD PRED",nan,nan,RAIN HEIGHT MOD PRED,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.marpetgeo.2014.07.024,"[Anonymous], 2002, GEOL SOC AM, V34, P42",nan,nan,GEOL SOC AM,nan,nan,nan,nan,nan,nan
Berkeley,10.1038/NCLIMATE2942,"[Anonymous], 2002, WORLD ATLAS DESERTIF",nan,nan,WORLD ATLAS DESERTIF,nan,nan,nan,nan,nan,nan
UCLA,10.1007/s12145-010-0047-2,"[Anonymous], 2003, 1117932003E ISOIEC",nan,nan,1117932003E ISOIEC,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.soildyn.2017.05.025,"[Anonymous], 2004, 11705 NZS",nan,nan,11705 NZS,nan,nan,nan,nan,nan,nan
Berkeley,nan,"[Anonymous], 2004, BBC NEWS",nan,nan,BBC NEWS,nan,nan,nan,nan,nan,nan
UCLA,10.1007/s00382-019-04730-3,"[Anonymous], 2004, CLIMATE DATA RECORDS",nan,nan,CLIMATE DATA RECORDS,nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.soildyn.2016.05.007,"[Anonymous], 2005, EUR 8 DES STRUCT E 6",nan,nan,EUR 8 DES STRUCT E 6,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.soildyn.2017.05.025,"[Anonymous], 2006, 705 ASCE",nan,nan,705 ASCE,nan,nan,nan,nan,nan,nan
CUBoulder,10.1007/s12145-011-0083-6,"[Anonymous], 2006, CHICAGO MANUAL STYLE",nan,nan,CHICAGO MANUAL STYLE,nan,nan,nan,nan,nan,nan
CUBoulder,10.1657/1938-4246-42.4.412,"[Anonymous], 2006, GUID SOIL DESCR",nan,nan,GUID SOIL DESCR,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.catena.2016.06.042,"[Anonymous], 2006, GUID SOIL DESCR",nan,nan,GUID SOIL DESCR,nan,nan,nan,nan,nan,nan
Berkeley,10.5194/amt-5-1869-2012,"[Anonymous], 2006, ISO GUID 35 2006 REF",nan,nan,ISO GUID 35 2006 REF,nan,nan,nan,nan,nan,nan
UCLA,10.1002/jgrf.20048,"[Anonymous], 2006, NAT RES CONS SERV",nan,nan,NAT RES CONS SERV,nan,nan,nan,nan,nan,nan
UCLA,10.1007/s10518-019-00621-4,"[Anonymous], 2006, SEISM DES CRIT VERS",nan,nan,SEISM DES CRIT VERS,nan,nan,nan,nan,nan,nan
Berkeley,10.3390/w10030244,"[Anonymous], 2006, WHO GUID SAF US WAST",nan,nan,WHO GUID SAF US WAST,nan,nan,nan,nan,nan,nan
Houston,10.1109/JSTARS.2017.2737362,"[Anonymous], 2007, COSMO SKYMED SAR PRO",nan,nan,COSMO SKYMED SAR PRO,nan,nan,nan,nan,nan,nan
